gene,article_count,article_share,edge_share,disease_count,disease_entropy,normalized_disease_entropy
HSP90AB1,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
IGF1R,4,0.01932367149758454,0.0023228803716608595,2,1.0,0.1781035935540111
CDK4,4,0.01932367149758454,0.0023228803716608595,4,2.0,0.3562071871080222
CYP1A2,4,0.01932367149758454,0.0023228803716608595,2,1.0,0.1781035935540111
ACTB,4,0.01932367149758454,0.0023228803716608595,3,1.584962500721156,0.2822875170267898
ESR2,4,0.01932367149758454,0.0023228803716608595,2,1.0,0.1781035935540111
NQO1,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
ANXA5,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
DPP4,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
CCNA2,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
NFE2L2,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
NOS2,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
PIK3CG,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
HMOX1,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
ADRB2,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
NFKBIA,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
MCL1,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
PARP1,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
CYP19A1,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
SERPINE1,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
CRP,3,0.014492753623188406,0.0017421602787456446,2,1.0,0.1781035935540111
CDK1,3,0.014492753623188406,0.0017421602787456446,2,0.9182958340544894,0.1635517879907824
CAT,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
CASP8,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
F2,3,0.014492753623188406,0.0017421602787456446,0,0.0,0.0
NFKB1,3,0.014492753623188406,0.0017421602787456446,1,0.0,0.0
KCNH2,2,0.00966183574879227,0.0011614401858304297,1,0.0,0.0
DRD2,2,0.00966183574879227,0.0011614401858304297,2,1.0,0.1781035935540111
TERT,2,0.00966183574879227,0.0011614401858304297,1,0.0,0.0
PRKCA,2,0.00966183574879227,0.0011614401858304297,0,0.0,0.0
