pmcid,disease_label,broad_disease,gene,confidence
PMC10448170,epilepsy,neurological,JUN,medium
PMC10448170,epilepsy,neurological,CASP3,medium
PMC10448170,epilepsy,neurological,ESR1,medium
PMC9663660,influenza,infectious,TLR4,high
PMC9663660,influenza,infectious,CD14,high
PMC9663660,influenza,infectious,MYD88,high
PMC9663660,influenza,infectious,HIF1A,high
PMC9663660,influenza,infectious,IL17A,high
PMC9663660,influenza,infectious,IL6,high
PMC9663660,influenza,infectious,TNF,high
PMC9663660,influenza,infectious,IL1B,high
PMC9663660,influenza,infectious,CCL2,high
PMC9663660,influenza,infectious,CXCL8,high
PMC9663660,influenza,infectious,IL10,high
PMC9663660,influenza,infectious,STAT1,high
PMC9663660,influenza,infectious,IFNG,high
PMC9663660,influenza,infectious,CXCL10,high
PMC9663660,influenza,infectious,SLC13A1,high
PMC10891378,,,AKT1,high
PMC10891378,,,NCOA1,high
PMC10891378,,,JUN,high
PMC10891378,,,ESR1,high
PMC10891378,,,MAPK8,high
PMC12323944,breast_cancer,cancer,MCC,high
PMC12323944,breast_cancer,cancer,ESR1,high
PMC12323944,breast_cancer,cancer,AKT1,high
PMC12323944,breast_cancer,cancer,HSP90AA1,high
PMC12323944,breast_cancer,cancer,ALB,high
PMC12323944,breast_cancer,cancer,EGFR,high
PMC12323944,breast_cancer,cancer,SRC,high
PMC12323944,breast_cancer,cancer,ANXA5,high
PMC12323944,breast_cancer,cancer,MAPK1,high
PMC12323944,breast_cancer,cancer,MDM2,high
PMC12323944,breast_cancer,cancer,GSK3B,high
PMC12751377,,,AKT1,high
PMC12751377,,,IL6,high
PMC12751377,,,CASP3,high
PMC12751377,,,TP53,high
PMC12751377,,,TNF,high
PMC12751377,,,IL1B,high
PMC12751377,,,PTGS2,high
PMC12751377,,,PPARG,high
PMC12751377,,,IL17A,high
PMC9459502,cancer_unspecified,cancer,CASP3,medium
PMC9459502,cancer_unspecified,cancer,MYC,medium
PMC9459502,cancer_unspecified,cancer,ESR1,medium
PMC9459502,cancer_unspecified,cancer,EGFR,medium
PMC9459502,cancer_unspecified,cancer,HIF1A,medium
PMC9459502,cancer_unspecified,cancer,CCND1,medium
PMC9459502,cancer_unspecified,cancer,VEGFA,medium
PMC9459502,cancer_unspecified,cancer,IL6,medium
PMC9459502,cancer_unspecified,cancer,ERBB2,medium
PMC9459502,cancer_unspecified,cancer,FOS,medium
PMC11803458,gastric_cancer,cancer,HSP90AA1,medium
PMC11803458,gastric_cancer,cancer,SRC,medium
PMC11803458,gastric_cancer,cancer,EGFR,medium
PMC11803458,gastric_cancer,cancer,TP53,medium
PMC11803458,gastric_cancer,cancer,AKT1,medium
PMC11803458,gastric_cancer,cancer,STAT3,medium
PMC11803458,gastric_cancer,cancer,EP300,medium
PMC11803458,gastric_cancer,cancer,MAPK1,medium
PMC11803458,gastric_cancer,cancer,ERBB2,medium
PMC11803458,gastric_cancer,cancer,ESR1,medium
PMC9126727,diabetic_nephropathy,renal_metabolic,TNF,medium
PMC9126727,diabetic_nephropathy,renal_metabolic,VEGFA,medium
PMC9126727,diabetic_nephropathy,renal_metabolic,AKT1,medium
PMC12537249,depression,psychiatric,AKT1,high
PMC12537249,depression,psychiatric,TNF,high
PMC12537249,depression,psychiatric,IL6,high
PMC12537249,depression,psychiatric,TP53,high
PMC12537249,depression,psychiatric,SRC,high
PMC12537249,depression,psychiatric,DCX,high
PMC7482508,gastric_cancer,cancer,MMP9,medium
PMC7482508,gastric_cancer,cancer,SERPINE1,medium
PMC7482508,gastric_cancer,cancer,CXCL8,medium
PMC7482508,gastric_cancer,cancer,MMP1,medium
PMC7482508,gastric_cancer,cancer,SPP1,medium
PMC7482508,gastric_cancer,cancer,ERBB2,medium
PMC7482508,gastric_cancer,cancer,CRP,medium
PMC7482508,gastric_cancer,cancer,MMP3,medium
PMC10126622,alzheimer_disease,neurological,DMPK,high
PMC10126622,alzheimer_disease,neurological,GAPDH,high
PMC10126622,alzheimer_disease,neurological,EP300,high
PMC10126622,alzheimer_disease,neurological,HSP90AB1,high
PMC10126622,alzheimer_disease,neurological,KDM6B,high
PMC10126622,alzheimer_disease,neurological,CREBBP,high
PMC10545357,irritable_bowel_syndrome,gastrointestinal,HTT,medium
PMC10545357,irritable_bowel_syndrome,gastrointestinal,TP53,medium
PMC10545357,irritable_bowel_syndrome,gastrointestinal,VEGFA,medium
PMC10545357,irritable_bowel_syndrome,gastrointestinal,MMP9,medium
PMC10545357,irritable_bowel_syndrome,gastrointestinal,TNF,medium
PMC13207515,,,TKT,high
PMC13207515,,,ADRB2,high
PMC13207515,,,VEGFA,high
PMC13207515,,,MMP9,high
PMC7069061,endometriosis,gynecologic,TP53,medium
PMC7069061,endometriosis,gynecologic,SRC,medium
PMC7069061,endometriosis,gynecologic,TNF,medium
PMC7069061,endometriosis,gynecologic,VEGFA,medium
PMC7069061,endometriosis,gynecologic,PIK3CA,medium
PMC7069061,endometriosis,gynecologic,CXCL8,medium
PMC7069061,endometriosis,gynecologic,EGFR,medium
PMC5859839,breast_cancer,cancer,HSD17B1,medium
PMC5859839,breast_cancer,cancer,CA2,medium
PMC5859839,breast_cancer,cancer,MAPK14,medium
PMC5859839,breast_cancer,cancer,BACE1,medium
PMC5859839,breast_cancer,cancer,HSP90AA1,medium
PMC5859839,breast_cancer,cancer,FGFR2,medium
PMC5859839,breast_cancer,cancer,ALDH2,medium
PMC5859839,breast_cancer,cancer,PPIA,medium
PMC5859839,breast_cancer,cancer,IGLV2-8,medium
PMC11191921,,,ESR1,high
PMC11191921,,,JUN,high
PMC11191921,,,CYP3A4,high
PMC11191921,,,CYP17A1,high
PMC11191921,,,AR,high
PMC11191921,,,SRD5A1,high
PMC11191921,,,CYP2C9,high
PMC11191921,,,CYP1A2,high
PMC11191921,,,SHBG,high
PMC11191921,,,SERPINE1,high
PMC11191921,,,FABP1,high
PMC7336235,,,BCL2,medium
PMC7336235,,,MAPT,medium
PMC7336235,,,F2,medium
PMC7336235,,,BCL2L1,medium
PMC7336235,,,PRKCD,medium
PMC7336235,,,PRKCB,medium
PMC7336235,,,HIF1A,medium
PMC7336235,,,PRKCA,medium
PMC11378754,depression,psychiatric,PTGS2,medium
PMC11378754,depression,psychiatric,ESR1,medium
PMC11378754,depression,psychiatric,NOS2,medium
PMC11378754,depression,psychiatric,GSK3B,medium
PMC11378754,depression,psychiatric,PPARG,medium
PMC9553462,,,ALB,high
PMC9553462,,,IL6,high
PMC9553462,,,TNF,high
PMC9553462,,,INS,high
PMC9553462,,,AKT1,high
PMC9553462,,,IL1B,high
PMC9553462,,,VEGFA,high
PMC9553462,,,TP53,high
PMC9553462,,,JUN,high
PMC9553462,,,TLR4,high
PMC9966887,,,MAPK3,medium
PMC9966887,,,SRC,medium
PMC9966887,,,MAPK1,medium
PMC11980797,gastric_cancer,cancer,SETD2,medium
PMC11980797,gastric_cancer,cancer,HSP90AA1,medium
PMC11980797,gastric_cancer,cancer,NFKB1,medium
PMC10644664,rheumatoid_arthritis,autoimmune,AQP1,medium
PMC10644664,rheumatoid_arthritis,autoimmune,MMP9,medium
PMC10644664,rheumatoid_arthritis,autoimmune,JUN,medium
PMC10644664,rheumatoid_arthritis,autoimmune,PTGS2,medium
PMC8263254,hepatocellular_carcinoma,cancer,TP53,high
PMC8263254,hepatocellular_carcinoma,cancer,AKT1,high
PMC8263254,hepatocellular_carcinoma,cancer,SRC,high
PMC8263254,hepatocellular_carcinoma,cancer,STAT3,high
PMC8263254,hepatocellular_carcinoma,cancer,MAPK3,high
PMC8263254,hepatocellular_carcinoma,cancer,PIK3CA,high
PMC8263254,hepatocellular_carcinoma,cancer,MAPK1,high
PMC8263254,hepatocellular_carcinoma,cancer,PIK3R1,high
PMC8263254,hepatocellular_carcinoma,cancer,HRAS,high
PMC8263254,hepatocellular_carcinoma,cancer,JUN,high
PMC8263254,hepatocellular_carcinoma,cancer,VEGFA,high
PMC8263254,hepatocellular_carcinoma,cancer,HSP90AA1,high
PMC8263254,hepatocellular_carcinoma,cancer,EGFR,high
PMC8263254,hepatocellular_carcinoma,cancer,JAK2,high
PMC8263254,hepatocellular_carcinoma,cancer,MAPK8,high
PMC8263254,hepatocellular_carcinoma,cancer,HYCC1,high
PMC8819592,,,ALB,high
PMC8819592,,,AKT1,high
PMC8819592,,,MAPK1,high
PMC8819592,,,MMP9,high
PMC8819592,,,EGFR,high
PMC8819592,,,SRC,high
PMC8819592,,,IGF1,high
PMC8819592,,,ESR1,high
PMC8819592,,,MAPK14,high
PMC8819592,,,HSP90AA1,high
PMC8819592,,,NOS3,high
PMC8819592,,,PIK3R1,high
PMC8819592,,,IL2,high
PMC8819592,,,PLG,high
PMC8819592,,,IGF1R,high
PMC8819592,,,BCL2L1,high
PMC12950218,depression,psychiatric,TNF,medium
PMC12950218,depression,psychiatric,PTGS2,medium
PMC12950218,depression,psychiatric,ESR1,medium
PMC12950218,depression,psychiatric,NR3C1,medium
PMC12950218,depression,psychiatric,MAOB,medium
PMC12950218,depression,psychiatric,MAOA,medium
PMC12950218,depression,psychiatric,CXCL8,medium
PMC12950218,depression,psychiatric,GRM5,medium
PMC12582737,colorectal_cancer,cancer,EGFR,high
PMC12582737,colorectal_cancer,cancer,JUN,high
PMC12582737,colorectal_cancer,cancer,RELA,high
PMC12582737,colorectal_cancer,cancer,STAT3,high
PMC12582737,colorectal_cancer,cancer,TP53,high
PMC8929114,hypertension,cardiovascular,AKT1,medium
PMC8929114,hypertension,cardiovascular,FOS,medium
PMC8929114,hypertension,cardiovascular,VEGFA,medium
PMC8929114,hypertension,cardiovascular,TP53,medium
PMC8929114,hypertension,cardiovascular,JUN,medium
PMC8929114,hypertension,cardiovascular,ESR1,medium
PMC8929114,hypertension,cardiovascular,MMP9,medium
PMC8929114,hypertension,cardiovascular,CASP3,medium
PMC8929114,hypertension,cardiovascular,AR,medium
PMC8929114,hypertension,cardiovascular,PTGS2,medium
PMC7569866,atopic_dermatitis,dermatologic,AKT1,medium
PMC7569866,atopic_dermatitis,dermatologic,IL6,medium
PMC7569866,atopic_dermatitis,dermatologic,RELA,medium
PMC10911376,breast_cancer,cancer,PPARA,high
PMC10911376,breast_cancer,cancer,ROCK2,high
PMC10911376,breast_cancer,cancer,PDGFRB,high
PMC10911376,breast_cancer,cancer,CCND1,high
PMC10911376,breast_cancer,cancer,MUC1,high
PMC10911376,breast_cancer,cancer,CDK1,high
PMC11139529,,,NOS3,medium
PMC11139529,,,FASLG,medium
PMC11139529,,,RELA,medium
PMC11139529,,,VEGFA,medium
PMC11139529,,,MMP2,medium
PMC11139529,,,MMP9,medium
PMC9626984,,,AKT1,medium
PMC9626984,,,TP53,medium
PMC9626984,,,TNF,medium
PMC9626984,,,IL6,medium
PMC9626984,,,JUN,medium
PMC9626984,,,CASP3,medium
PMC9626984,,,IL1B,medium
PMC9626984,,,EGFR,medium
PMC9626984,,,PTGS2,medium
PMC9626984,,,MYC,medium
PMC9626984,,,HIF1A,medium
PMC9626984,,,MMP9,medium
PMC9626984,,,PPARG,medium
PMC9626984,,,HSP90AA1,medium
PMC9626984,,,CXCL8,medium
PMC9626984,,,CCND1,medium
PMC9626984,,,MMP2,medium
PMC9626984,,,FOS,medium
PMC9626984,,,CCL2,medium
PMC9626984,,,ERBB2,medium
PMC9970883,atherosclerosis,cardiovascular,MAPK1,medium
PMC9970883,atherosclerosis,cardiovascular,MAPK8,medium
PMC9970883,atherosclerosis,cardiovascular,MAPK14,medium
PMC12012937,copd,respiratory,TP53,medium
PMC12012937,copd,respiratory,STAT3,medium
PMC12012937,copd,respiratory,AKT2,medium
PMC12012937,copd,respiratory,TNF,medium
PMC12012937,copd,respiratory,IL6,medium
PMC12012937,copd,respiratory,JUN,medium
PMC11813014,osteoarthritis,musculoskeletal,STAT3,high
PMC11813014,osteoarthritis,musculoskeletal,ESR1,high
PMC11813014,osteoarthritis,musculoskeletal,EGFR,high
PMC11813014,osteoarthritis,musculoskeletal,JUN,high
PMC11813014,osteoarthritis,musculoskeletal,PTGS2,high
PMC11813014,osteoarthritis,musculoskeletal,SETD2,high
PMC6685170,,,TNF,medium
PMC6685170,,,PIK3CG,medium
PMC6685170,,,VEGFA,medium
PMC6685170,,,IL6,medium
PMC6685170,,,EGFR,medium
PMC6685170,,,MAPK1,medium
PMC6685170,,,JUN,medium
PMC6685170,,,TP53,medium
PMC6685170,,,BCL2,medium
PMC6685170,,,ESR1,medium
PMC6685170,,,HYCC1,medium
PMC13266507,,,DCX,high
PMC13266507,,,AKT1,high
PMC13266507,,,EGFR,high
PMC13266507,,,ALB,high
PMC13266507,,,BCL2,high
PMC13266507,,,HIF1A,high
PMC13266507,,,HSP90AA1,high
PMC13266507,,,SRC,high
PMC13266507,,,ESR1,high
PMC13266507,,,PTGS2,high
PMC13266507,,,MAPK3,high
PMC13266507,,,GSK3B,high
PMC12778220,,,AKT1,high
PMC12778220,,,STAT3,high
PMC12778220,,,ESR1,high
PMC12778220,,,EGFR,high
PMC12389595,covid_19,infectious,RELA,medium
PMC12389595,covid_19,infectious,TP53,medium
PMC12389595,covid_19,infectious,TNF,medium
PMC8187140,covid_19,infectious,RELA,high
PMC8187140,covid_19,infectious,TNF,high
PMC8187140,covid_19,infectious,TP53,high
PMC8187140,covid_19,infectious,IL6,high
PMC8187140,covid_19,infectious,MAPK1,high
PMC8187140,covid_19,infectious,CXCL8,high
PMC8187140,covid_19,infectious,IL1B,high
PMC8187140,covid_19,infectious,MAPK14,high
PMC8187140,covid_19,infectious,IL17A,high
PMC9477627,pancreatic_cancer,cancer,TP53,medium
PMC9477627,pancreatic_cancer,cancer,HRAS,medium
PMC9477627,pancreatic_cancer,cancer,VEGFA,medium
PMC9477627,pancreatic_cancer,cancer,AKT1,medium
PMC9477627,pancreatic_cancer,cancer,STAT3,medium
PMC9477627,pancreatic_cancer,cancer,EGFR,medium
PMC9477627,pancreatic_cancer,cancer,SRC,medium
PMC12155304,psoriasis,dermatologic_autoimmune,TNF,high
PMC12155304,psoriasis,dermatologic_autoimmune,SETD2,high
PMC12155304,psoriasis,dermatologic_autoimmune,IL17A,high
PMC12155304,psoriasis,dermatologic_autoimmune,TP53,high
PMC13135239,diabetes,metabolic,PRKAB1,medium
PMC13135239,diabetes,metabolic,HDAC2,medium
PMC13135239,diabetes,metabolic,PTGS1,medium
PMC13135239,diabetes,metabolic,NR3C2,medium
PMC13135239,diabetes,metabolic,PPARG,medium
PMC11931053,,,AKT1,medium
PMC11931053,,,INS,medium
PMC11931053,,,IL6,medium
PMC11931053,,,IL1B,medium
PMC11931053,,,TNF,medium
PMC11931053,,,BCL2,medium
PMC11931053,,,TP53,medium
PMC11931053,,,PTGS2,medium
PMC11931053,,,PPARG,medium
PMC11931053,,,ESR1,medium
PMC11992827,acute_liver_injury,hepatic,AKT1,medium
PMC11992827,acute_liver_injury,hepatic,CAT,medium
PMC11992827,acute_liver_injury,hepatic,STAT1,medium
PMC9983444,,,TNF,medium
PMC9983444,,,IL6,medium
PMC9983444,,,IL1B,medium
PMC9983444,,,IL10,medium
PMC12063623,,,ESR2,high
PMC12063623,,,MAOA,high
PMC12063623,,,ESR1,high
PMC12063623,,,ADORA1,high
PMC12063623,,,NOS2,high
PMC12063623,,,PTGS2,high
PMC12063623,,,GRM5,high
PMC12063623,,,APP,high
PMC12063623,,,ADORA2A,high
PMC12063623,,,MAPK8,high
PMC12063623,,,AKT1,high
PMC12063623,,,CSNK2A1,high
PMC12063623,,,ITGB1,high
PMC12063623,,,CHRNA7,high
PMC12063623,,,NOS3,high
PMC12643769,,,NR3C2,high
PMC12643769,,,ERBB2,high
PMC12643769,,,MAP3K8,high
PMC12643769,,,ABCB1,high
PMC12643769,,,IL1B,high
PMC12643769,,,MTOR,high
PMC12643769,,,DPP4,high
PMC12643769,,,IFNG,high
PMC12643769,,,CYP1B1,high
PMC12643769,,,NQO1,high
PMC12643769,,,PAM,high
PMC12643769,,,SGK1,high
PMC12643769,,,EGF,high
PMC12643769,,,HSD17B3,high
PMC12643769,,,LDHA,high
PMC12643769,,,ENPP1,high
PMC9704970,heart_failure,cardiovascular,JUN,high
PMC9704970,heart_failure,cardiovascular,MYC,high
PMC9704970,heart_failure,cardiovascular,TP53,high
PMC9704970,heart_failure,cardiovascular,HIF1A,high
PMC9704970,heart_failure,cardiovascular,ESR1,high
PMC9704970,heart_failure,cardiovascular,RELA,high
PMC9704970,heart_failure,cardiovascular,MAPK1,high
PMC9704970,heart_failure,cardiovascular,CFH,high
PMC12419440,lung_cancer,cancer,TP53,high
PMC12419440,lung_cancer,cancer,STAT3,high
PMC12419440,lung_cancer,cancer,AKT1,high
PMC12419440,lung_cancer,cancer,IL6,high
PMC12419440,lung_cancer,cancer,HSP90AA1,high
PMC12419440,lung_cancer,cancer,JUN,high
PMC11770944,atherosclerosis,cardiovascular,RELA,high
PMC11770944,atherosclerosis,cardiovascular,STAT3,high
PMC11770944,atherosclerosis,cardiovascular,TLR4,high
PMC11770944,atherosclerosis,cardiovascular,TLR9,high
PMC11770944,atherosclerosis,cardiovascular,TNF,high
PMC11770944,atherosclerosis,cardiovascular,ESR1,high
PMC11770944,atherosclerosis,cardiovascular,ESR2,high
PMC11770944,atherosclerosis,cardiovascular,MAPK1,high
PMC11770944,atherosclerosis,cardiovascular,MAPK3,high
PMC11770944,atherosclerosis,cardiovascular,PDE4D,high
PMC11770944,atherosclerosis,cardiovascular,PTGS2,high
PMC11770944,atherosclerosis,cardiovascular,RAC1,high
PMC13118322,,,STAT1,high
PMC13118322,,,STAT3,high
PMC13118322,,,SRC,high
PMC13118322,,,HCK,high
PMC13118322,,,EGFR,high
PMC13118322,,,SYK,high
PMC13118322,,,PIK3CA,high
PMC13118322,,,PIK3CB,high
PMC13118322,,,PIK3R1,high
PMC13118322,,,PTPN11,high
PMC10788922,covid_19,infectious,IL6,medium
PMC10788922,covid_19,infectious,TNF,medium
PMC10788922,covid_19,infectious,MAPK1,medium
PMC10788922,covid_19,infectious,IL1B,medium
PMC10788922,covid_19,infectious,IL17A,medium
PMC8766719,osteoporosis,musculoskeletal,JUN,high
PMC8766719,osteoporosis,musculoskeletal,TP53,high
PMC8766719,osteoporosis,musculoskeletal,AKT1,high
PMC8766719,osteoporosis,musculoskeletal,ESR1,high
PMC8766719,osteoporosis,musculoskeletal,AR,high
PMC8766719,osteoporosis,musculoskeletal,CASP3,high
PMC8766719,osteoporosis,musculoskeletal,SETD2,high
PMC12143326,ulcerative_colitis,gastrointestinal,IL6,medium
PMC12143326,ulcerative_colitis,gastrointestinal,TNF,medium
PMC12143326,ulcerative_colitis,gastrointestinal,MPO,medium
PMC9747319,parkinson_disease,neurological,ARG1,medium
PMC9747319,parkinson_disease,neurological,P4HA1,medium
PMC9747319,parkinson_disease,neurological,NOS3,medium
PMC9747319,parkinson_disease,neurological,NOS1,medium
PMC9747319,parkinson_disease,neurological,ALDH2,medium
PMC12939618,,,ESR1,medium
PMC12939618,,,RXRA,medium
PMC12939618,,,NCOA2,medium
PMC12939618,,,CYP19A1,medium
PMC11106056,,,TLR4,high
PMC11106056,,,MMP9,high
PMC11106056,,,MAPK14,high
PMC11106056,,,AKT1,high
PMC11106056,,,VEGFA,high
PMC11106056,,,HSP90AA1,high
PMC12638804,copd,respiratory,AKT1,high
PMC12638804,copd,respiratory,TNF,high
PMC12638804,copd,respiratory,IL6,high
PMC12638804,copd,respiratory,ACTB,high
PMC12638804,copd,respiratory,TP53,high
PMC12638804,copd,respiratory,SETD2,high
PMC12638804,copd,respiratory,IL17A,high
PMC13194826,,,ALB,high
PMC13194826,,,SRC,high
PMC13194826,,,HSP90AA1,high
PMC13194826,,,HRAS,high
PMC13194826,,,CASP3,high
PMC13194826,,,MAPK1,high
PMC13194826,,,ESR1,high
PMC9393234,breast_cancer,cancer,STAT3,high
PMC9393234,breast_cancer,cancer,AKT1,high
PMC9393234,breast_cancer,cancer,TNF,high
PMC9393234,breast_cancer,cancer,PTGS2,high
PMC9393234,breast_cancer,cancer,MMP9,high
PMC9393234,breast_cancer,cancer,EGFR,high
PMC9393234,breast_cancer,cancer,PPARG,high
PMC9393234,breast_cancer,cancer,NFE2L2,high
PMC9393234,breast_cancer,cancer,EP300,high
PMC9393234,breast_cancer,cancer,GSK3B,high
PMC7936909,,,PTGS2,high
PMC7936909,,,PTGS1,high
PMC7936909,,,AR,high
PMC9772884,,,AKT1,medium
PMC9772884,,,TNF,medium
PMC9772884,,,STAT3,medium
PMC9772884,,,JUN,medium
PMC9772884,,,EGFR,medium
PMC9526650,hepatocellular_carcinoma,cancer,AKT1,high
PMC9526650,hepatocellular_carcinoma,cancer,BCL2L1,high
PMC9526650,hepatocellular_carcinoma,cancer,HIF1A,high
PMC9526650,hepatocellular_carcinoma,cancer,RELA,high
PMC9526650,hepatocellular_carcinoma,cancer,CASP3,high
PMC9526650,hepatocellular_carcinoma,cancer,PPARG,high
PMC9526650,hepatocellular_carcinoma,cancer,CAT,high
PMC9526650,hepatocellular_carcinoma,cancer,JUN,high
PMC9526650,hepatocellular_carcinoma,cancer,ESR1,high
PMC9526650,hepatocellular_carcinoma,cancer,AR,high
PMC9526650,hepatocellular_carcinoma,cancer,EGFR,high
PMC9526650,hepatocellular_carcinoma,cancer,HYCC1,high
PMC10314554,,,AKT1,medium
PMC10314554,,,IL6,medium
PMC10314554,,,IL1B,medium
PMC8898804,psoriasis,dermatologic_autoimmune,AKT1,high
PMC8898804,psoriasis,dermatologic_autoimmune,TNF,high
PMC8898804,psoriasis,dermatologic_autoimmune,IL6,high
PMC8898804,psoriasis,dermatologic_autoimmune,TP53,high
PMC8898804,psoriasis,dermatologic_autoimmune,VEGFA,high
PMC8898804,psoriasis,dermatologic_autoimmune,JUN,high
PMC8898804,psoriasis,dermatologic_autoimmune,CASP3,high
PMC8898804,psoriasis,dermatologic_autoimmune,IL1B,high
PMC8898804,psoriasis,dermatologic_autoimmune,STAT3,high
PMC8898804,psoriasis,dermatologic_autoimmune,PTGS2,high
PMC8898804,psoriasis,dermatologic_autoimmune,HIF1A,high
PMC8898804,psoriasis,dermatologic_autoimmune,EGF,high
PMC8898804,psoriasis,dermatologic_autoimmune,MYC,high
PMC8898804,psoriasis,dermatologic_autoimmune,EGFR,high
PMC8898804,psoriasis,dermatologic_autoimmune,MMP9,high
PMC8898804,psoriasis,dermatologic_autoimmune,PPARG,high
PMC8898804,psoriasis,dermatologic_autoimmune,SETD2,high
PMC10578686,,,ESR1,high
PMC10578686,,,TP53,high
PMC10578686,,,IL6,high
PMC10578686,,,AKT1,high
PMC10578686,,,EGFR,high
PMC9849370,preeclampsia,gynecologic,IL6,high
PMC9849370,preeclampsia,gynecologic,RELA,high
PMC9849370,preeclampsia,gynecologic,TNF,high
PMC9849370,preeclampsia,gynecologic,MAPK1,high
PMC9849370,preeclampsia,gynecologic,IL1B,high
PMC9849370,preeclampsia,gynecologic,TGFB1,high
PMC9849370,preeclampsia,gynecologic,TGFB2,high
PMC9849370,preeclampsia,gynecologic,CASP3,high
PMC9849370,preeclampsia,gynecologic,CXCL8,high
PMC9849370,preeclampsia,gynecologic,BCL2,high
PMC9849370,preeclampsia,gynecologic,STAT3,high
PMC9849370,preeclampsia,gynecologic,VEGFA,high
PMC9849370,preeclampsia,gynecologic,TP53,high
PMC9849370,preeclampsia,gynecologic,IL10,high
PMC9849370,preeclampsia,gynecologic,IL1A,high
PMC9849370,preeclampsia,gynecologic,EGFR,high
PMC11229930,,,ABCC1,high
PMC11229930,,,MMP2,high
PMC11229930,,,MMP9,high
PMC11229930,,,GSK3B,high
PMC11229930,,,MMP3,high
PMC11229930,,,PIK3CG,high
PMC11229930,,,APCDD1,high
PMC9307349,alzheimer_disease,neurological,FOS,medium
PMC9307349,alzheimer_disease,neurological,CCL2,medium
PMC9307349,alzheimer_disease,neurological,GJA1,medium
PMC9307349,alzheimer_disease,neurological,CD4,medium
PMC8536441,diabetes,metabolic,IL6,medium
PMC8536441,diabetes,metabolic,NOS3,medium
PMC8536441,diabetes,metabolic,SETD2,medium
PMC9325604,,,RB1,medium
PMC9325604,,,STAT3,medium
PMC9325604,,,CDKN2A,medium
PMC8382556,ischemic_stroke,neurological,MAPK1,high
PMC8382556,ischemic_stroke,neurological,AKT1,high
PMC8382556,ischemic_stroke,neurological,PIK3R1,high
PMC8382556,ischemic_stroke,neurological,SRC,high
PMC8382556,ischemic_stroke,neurological,MAPK8,high
PMC8382556,ischemic_stroke,neurological,EGFR,high
PMC8382556,ischemic_stroke,neurological,IGF1,high
PMC8382556,ischemic_stroke,neurological,HRAS,high
PMC8382556,ischemic_stroke,neurological,RHOA,high
PMC8382556,ischemic_stroke,neurological,HSP90AA1,high
PMC10825855,cervical_cancer,cancer,AR,medium
PMC10825855,cervical_cancer,cancer,ESR1,medium
PMC10825855,cervical_cancer,cancer,IL6,medium
PMC10825855,cervical_cancer,cancer,VEGFA,medium
PMC10825855,cervical_cancer,cancer,CTNNB1,medium
PMC10825855,cervical_cancer,cancer,HRAS,medium
PMC10825855,cervical_cancer,cancer,TNF,medium
PMC11475257,arrhythmia,cardiovascular,IDS,medium
PMC11475257,arrhythmia,cardiovascular,CASP8,medium
PMC11475257,arrhythmia,cardiovascular,TNF,medium
PMC9468872,,,AKT1,medium
PMC9468872,,,MAPK1,medium
PMC9468872,,,TP53,medium
PMC9468872,,,TNF,medium
PMC9468872,,,EGFR,medium
PMC9468872,,,INS,medium
PMC9468872,,,CASP3,medium
PMC9468872,,,IL1B,medium
PMC9468872,,,BDNF,medium
PMC9794283,gout,musculoskeletal,AKT1,medium
PMC9794283,gout,musculoskeletal,TNF,medium
PMC9794283,gout,musculoskeletal,ALB,medium
PMC9794283,gout,musculoskeletal,IL6,medium
PMC9794283,gout,musculoskeletal,TP53,medium
PMC9794283,gout,musculoskeletal,VEGFA,medium
PMC9794283,gout,musculoskeletal,EGFR,medium
PMC9794283,gout,musculoskeletal,SRC,medium
PMC9794283,gout,musculoskeletal,JUN,medium
PMC9794283,gout,musculoskeletal,STAT3,medium
PMC9794283,gout,musculoskeletal,IL1B,medium
PMC9794283,gout,musculoskeletal,EGF,medium
PMC9794283,gout,musculoskeletal,MAPK3,medium
PMC9794283,gout,musculoskeletal,MYC,medium
PMC9794283,gout,musculoskeletal,HSP90AA1,medium
PMC9794283,gout,musculoskeletal,PPARG,medium
PMC9794283,gout,musculoskeletal,HRAS,medium
PMC9794283,gout,musculoskeletal,TLR4,medium
PMC9794283,gout,musculoskeletal,PTGS2,medium
PMC9794283,gout,musculoskeletal,IL10,medium
PMC9794283,gout,musculoskeletal,MMP9,medium
PMC9794283,gout,musculoskeletal,ERBB2,medium
PMC9794283,gout,musculoskeletal,PTPRC,medium
PMC9192289,colorectal_cancer,cancer,STAT3,high
PMC9192289,colorectal_cancer,cancer,TP53,high
PMC9192289,colorectal_cancer,cancer,MAPK3,high
PMC9192289,colorectal_cancer,cancer,AKT1,high
PMC9192289,colorectal_cancer,cancer,JUN,high
PMC9192289,colorectal_cancer,cancer,EGFR,high
PMC9192289,colorectal_cancer,cancer,MYC,high
PMC9192289,colorectal_cancer,cancer,VEGFA,high
PMC9192289,colorectal_cancer,cancer,EGF,high
PMC9192289,colorectal_cancer,cancer,CTNNB1,high
PMC9192289,colorectal_cancer,cancer,MAP3K14,high
PMC10489428,,,SERPINF2,medium
PMC10489428,,,JUN,medium
PMC10489428,,,MAPK1,medium
PMC10489428,,,STAT3,medium
PMC8814618,covid_19,infectious,EGFR,high
PMC8814618,covid_19,infectious,MAPK1,high
PMC8814618,covid_19,infectious,AR,high
PMC8814618,covid_19,infectious,MTOR,high
PMC8814618,covid_19,infectious,AKT1,high
PMC8814618,covid_19,infectious,JAK2,high
