pmcid,disease_label,broad_disease,gene,confidence
PMC9253672,,,SLC6A4,medium
PMC9253672,,,SLC6A3,medium
PMC9253672,,,SLC6A2,medium
PMC9253672,,,NR3C1,medium
PMC9253672,,,ESR1,medium
PMC9253672,,,HTR2A,medium
PMC13282690,,,SOAT1,medium
PMC13282690,,,JAK1,medium
PMC13282690,,,STAT3,medium
PMC12810852,,,PPARA,high
PMC12810852,,,NR1H4,high
PMC12810852,,,PTGS2,high
PMC12810852,,,FABP1,high
PMC12810852,,,HMGCR,high
PMC12810852,,,ESRRA,high
PMC12810852,,,CYP19A1,high
PMC12810852,,,NR3C1,high
PMC12810852,,,G6PD,high
PMC12597982,,,MCC,high
PMC12597982,,,PTGS2,high
PMC12597982,,,JUN,high
PMC12597982,,,VEGFA,high
PMC12597982,,,STAT3,high
PMC12597982,,,MMP9,high
PMC12597982,,,AKT1,high
PMC12597982,,,IL6,high
PMC12597982,,,TP53,high
PMC12597982,,,TNF,high
PMC12597982,,,CASP3,high
PMC11471080,coronary_heart_disease,cardiovascular,AKT1,high
PMC11471080,coronary_heart_disease,cardiovascular,TNF,high
PMC11471080,coronary_heart_disease,cardiovascular,TP53,high
PMC11471080,coronary_heart_disease,cardiovascular,IL6,high
PMC11471080,coronary_heart_disease,cardiovascular,VEGFA,high
PMC12944351,nonalcoholic_fatty_liver,hepatic_metabolic,IL6,high
PMC12944351,nonalcoholic_fatty_liver,hepatic_metabolic,AKT1,high
PMC12944351,nonalcoholic_fatty_liver,hepatic_metabolic,JUN,high
PMC12944351,nonalcoholic_fatty_liver,hepatic_metabolic,TNF,high
PMC12944351,nonalcoholic_fatty_liver,hepatic_metabolic,CASP3,high
PMC12944351,nonalcoholic_fatty_liver,hepatic_metabolic,ESR1,high
PMC12086034,,,SRC,high
PMC12086034,,,JAK2,high
PMC12086034,,,IGF1R,high
PMC12086034,,,EGFR,high
PMC8357467,pulmonary_fibrosis,respiratory,PTGS2,medium
PMC8357467,pulmonary_fibrosis,respiratory,NOS2,medium
PMC8357467,pulmonary_fibrosis,respiratory,CDK2,medium
PMC8357467,pulmonary_fibrosis,respiratory,GSK3B,medium
PMC8357467,pulmonary_fibrosis,respiratory,CCNA2,medium
PMC8357467,pulmonary_fibrosis,respiratory,PPARG,medium
PMC8357467,pulmonary_fibrosis,respiratory,MAPK14,medium
PMC8357467,pulmonary_fibrosis,respiratory,CASP3,medium
PMC8357467,pulmonary_fibrosis,respiratory,BCL2,medium
PMC8357467,pulmonary_fibrosis,respiratory,RELA,medium
PMC12582814,psoriasis,dermatologic_autoimmune,TNF,medium
PMC12582814,psoriasis,dermatologic_autoimmune,ALB,medium
PMC12582814,psoriasis,dermatologic_autoimmune,IL6,medium
PMC12582814,psoriasis,dermatologic_autoimmune,TP53,medium
PMC12582814,psoriasis,dermatologic_autoimmune,IL1B,medium
PMC9396374,,,EGFR,high
PMC9396374,,,MAPK1,high
PMC9396374,,,AKT1,high
PMC9396374,,,AR,high
PMC12832263,pneumonia,respiratory_infectious,STAT3,medium
PMC12832263,pneumonia,respiratory_infectious,AKT1,medium
PMC12832263,pneumonia,respiratory_infectious,PIK3CA,medium
PMC12832263,pneumonia,respiratory_infectious,PIK3R1,medium
PMC12832263,pneumonia,respiratory_infectious,JUN,medium
PMC12832263,pneumonia,respiratory_infectious,MAPK1,medium
PMC11334046,gastric_cancer,cancer,ESR1,high
PMC11334046,gastric_cancer,cancer,EGFR,high
PMC11334046,gastric_cancer,cancer,CYP2B6,high
PMC11334046,gastric_cancer,cancer,CYP3A4,high
PMC11334046,gastric_cancer,cancer,MAPK14,high
PMC11334046,gastric_cancer,cancer,CYP1A2,high
PMC9013574,,,MAOA,medium
PMC9013574,,,MMP2,medium
PMC9013574,,,HSPB1,medium
PMC12567495,,,CYP3A4,medium
PMC12567495,,,CYP1A2,medium
PMC12567495,,,CYP2B6,medium
PMC12567495,,,CYP1A1,medium
PMC12567495,,,GSTP1,medium
PMC12567495,,,GSTM1,medium
PMC9869961,hepatocellular_carcinoma,cancer,CDK1,high
PMC9869961,hepatocellular_carcinoma,cancer,CDK4,high
PMC9869961,hepatocellular_carcinoma,cancer,SRC,high
PMC9869961,hepatocellular_carcinoma,cancer,E2F1,high
PMC11284526,,,TP53,medium
PMC11284526,,,JUN,medium
PMC11284526,,,AKT1,medium
PMC11284526,,,STAT3,medium
PMC11284526,,,TNF,medium
PMC11284526,,,ESR1,medium
PMC11284526,,,IL6,medium
PMC11284526,,,HSP90AA1,medium
PMC9300327,acne,dermatologic,TNF,high
PMC9300327,acne,dermatologic,JUN,high
PMC9300327,acne,dermatologic,IL6,high
PMC9300327,acne,dermatologic,STAT3,high
PMC9300327,acne,dermatologic,MAPK1,high
PMC9300327,acne,dermatologic,MAPK3,high
PMC12440942,,,HSP90AA1,high
PMC12440942,,,TP53,high
PMC12440942,,,MAPK1,high
PMC12440942,,,AKT1,high
PMC12440942,,,RELA,high
PMC12440942,,,TNF,high
PMC10832243,lung_cancer,cancer,TP53,high
PMC10832243,lung_cancer,cancer,JUN,high
PMC10832243,lung_cancer,cancer,AKT1,high
PMC10832243,lung_cancer,cancer,STAT3,high
PMC10832243,lung_cancer,cancer,MAPK3,high
PMC8923798,ovarian_cancer,cancer,PIK3CA,high
PMC8923798,ovarian_cancer,cancer,CTNNB1,high
PMC8923798,ovarian_cancer,cancer,HPSE,high
PMC8923798,ovarian_cancer,cancer,AKT1,high
PMC7768820,,,AKT1,high
PMC7768820,,,CAT,high
PMC7768820,,,TNF,high
PMC7768820,,,CASP3,high
PMC7768820,,,PTGS2,high
PMC11402759,osteoporosis,musculoskeletal,TP53,medium
PMC11402759,osteoporosis,musculoskeletal,JUN,medium
PMC11402759,osteoporosis,musculoskeletal,MAPK3,medium
PMC11402759,osteoporosis,musculoskeletal,AKT1,medium
PMC11402759,osteoporosis,musculoskeletal,MAPK1,medium
PMC11402759,osteoporosis,musculoskeletal,RELA,medium
