rank	screen_priority_score	project_accession	species_labels	scientific_names	run_count	total_fastq_gb	total_fastq_bytes	total_read_count	total_base_count	estimated_mean_read_length	paired_runs	illumina_runs	fastq_available_runs	earliest_year	latest_year	unique_sample_titles	explicit_virus_target	priority_reasons	sample_title_examples	centers	countries	run_accessions	search_text
387	58.936	SRP335636	Salvia miltiorrhiza	Salvia miltiorrhiza	12	33.129	33128789798	250040341	74250456389	296.95	12	12	12	2021	2021	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Salvia miltiorrhiza	SUB10315439; SUB10339505	China:Henan; China:Shaanxi; China:Sichuan; China:Yunnan	SRR15718795;SRR15718796;SRR15718797;SRR15718798;SRR15718799;SRR15718800;SRR15718801;SRR15718802;SRR15718803;SRR15718804;SRR15718805;SRR15801595	Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Shaanxi | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Shaanxi | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Shaanxi | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Yunnan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Yunnan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Yunnan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Sichuan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Henan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Henan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Sichuan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Sichuan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza Transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of S. miltiorrhiza: from Henan | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza
388	58.919	SRP347064	Panax notoginseng	Panax notoginseng	6	33.163	33162784955	248492481	74547744300	300.0	6	6	6	2021	2021	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Panax notoginseng	SUB10697667	China:Luxi; China:Shilin; China:Shiping	SRR16991907;SRR16991908;SRR16991909;SRR16991910;SRR16991911;SRR16991912	De novo and comparative transcriptomic analysis explain morphological differences in Panax notoginseng taproots | Illumina NovaSeq 6000 sequencing: oval taproot | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | De novo and comparative transcriptomic analysis explain morphological differences in Panax notoginseng taproots | Illumina NovaSeq 6000 sequencing: oval taproot | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | De novo and comparative transcriptomic analysis explain morphological differences in Panax notoginseng taproots | Illumina NovaSeq 6000 sequencing: oval taproot | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | De novo and comparative transcriptomic analysis explain morphological differences in Panax notoginseng taproots | Illumina NovaSeq 6000 sequencing: long taproot | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | De novo and comparative transcriptomic analysis explain morphological differences in Panax notoginseng taproots | Illumina NovaSeq 6000 sequencing: long taproot | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | De novo and comparative transcriptomic analysis explain morphological differences in Panax notoginseng taproots | Illumina NovaSeq 6000 sequencing: long taproot | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng
389	58.906	SRP355878	Zingiber officinale	Zingiber officinale	12	57.188	57187641135	365279761	109583928300	300.0	12	12	12	2025	2025	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Zingiber officinale Roscoe	SUB9380753	India:RGCB	SRR17673815;SRR17673816;SRR17673817;SRR17673818;SRR17673819;SRR17673820;SRR17673821;SRR17673822;SRR17673823;SRR17673824;SRR17673825;SRR17673826	Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe | Zingiber officinale Transcriptome or Gene expression | HiSeq X Ten sequencing: Transcriptome analysis of Zingiber officinale | Plant sample from Zingiber officinale Roscoe | Plant sample from Zingiber officinale Roscoe
390	58.819	SRP650161	Salvia miltiorrhiza	Salvia miltiorrhiza	12	57.362	57362365927	267086314	80125894200	300.0	12	12	12	2026	2026	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Salvia miltiorrhiza	SUB15804110	China: Sichuan	SRR36251729;SRR36251730;SRR36251731;SRR36251732;SRR36251733;SRR36251734;SRR36251735;SRR36251736;SRR36251737;SRR36251738;SRR36251739;SRR36251740	Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Temporal RNA-Seq data of Salvia miltiorrhiza | Illumina HiSeq 2000 sequencing: Salvia miltiorrhiza RNA-Seq | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza
391	58.78	DRP009154	Glycyrrhiza uralensis	Glycyrrhiza uralensis	32	43.439	43439250899	311537058	61330901007	196.87	32	32	32	2022	2022	32	False	oversized project; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Lateral Roots || Leaves || Main root-1 || Main root-2 || Stems || Sto_Drought12h || Sto_Drought24h || Sto_Drought3h	OSAKA_ENG		DRR302263;DRR302264;DRR302265;DRR302266;DRR302267;DRR302268;DRR302269;DRR302270;DRR302271;DRR302272;DRR302273;DRR302274;DRR302275;DRR302276;DRR302277;DRR302278;DRR302279;DRR302280;DRR302281;DRR302282;DRR302283;DRR302284;DRR302285;DRR302286;DRR302287;DRR302288;DRR302289;DRR302290;DRR302291;DRR302292;DRR302293;DRR302294	Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327637 | Sto_noNAA_1 | Tissue-cultured stolon (cultured with NAA-free media, Sample 1) | Glycyrrhiza uralensis transcriptome | Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00327638 | Sto_noNAA_2 | Tissue-cultured stolon (cultured with NAA-free media, Sample 2) | Glycyrrhiza uralensis transcriptome | Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00327639 | Sto_Drought3h | Tissue-cultured stolon: Drought treatment 3h | Glycyrrhiza uralensis transcriptome | Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00327640 | Sto_Drought6h | Tissue-cultured stolon: Drought treatment 6h | Glycyrrhiza uralensis transcriptome | Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00327641 | Sto_Drought12h | Tissue-cultured stolon: Drought treatment 12h | Glycyrrhiza uralensis transcriptome | Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00327642 | Sto_Drought24h | Tissue-cultured stolon: Drought treatment 24h | Glycyrrhiza uralensis transcriptome | Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00327643 | Sto_Drought48h | Tissue-cultured stolon: Drought treatment 48h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327644 | Sto_MeJA0.5h | Tissue-cultured stolon: Methyl jasmonate (MeJA) 0.5h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327645 | Sto_MeJA1h | Tissue-cultured stolon: MeJA 1h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327646 | Sto_MeJA2h | Tissue-cultured stolon: MeJA 2h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327647 | Sto_MeJA3h | Tissue-cultured stolon: MeJA 3h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327648 | Sto_MeJA6h | Tissue-cultured stolon: MeJA 6h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327649 | Sto_MeJA12h | Tissue-cultured stolon: MeJA 12h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327650 | Sto_MeJA24h | Tissue-cultured stolon: MeJA 24h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327651 | Sto_MeJA48h | Tissue-cultured stolon: MeJA 48h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327652 | Sto_SA6h | Tissue-cultured stolon: Salicylic acid (SA) 6h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327653 | Sto_SA12h | Tissue-cultured stolon: SA 12h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327654 | Sto_SA24h | Tissue-cultured stolon: SA 24h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327655 | Sto_SA48h | Tissue-cultured stolon: SA 48h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina HiSeq 1500 paired end sequencing of SAMD00327656 | Sto_YE6h | Tissue-cultured stolon: Yeast extract elicitor (YE) 6h | Glycyrrhiza uralensis transcriptome | Illumina HiSeq 1500 paired end sequencing: Illumina H
392	58.5	SRP242679	Ephedra sinica	Ephedra sinica	14	23.92	23920373134	154175890	43316880759	280.96	7	7	12	2021	2021	1	False	replicated tractable run count; large but feasible; long Illumina reads; not explicitly virus-targeted	Plant sample from Ephedra	SUB6820529	China	SRR10913099;SRR10913100;SRR10913101;SRR10913102;SRR10913103;SRR10913104;SRR10913105;SRR10913107;SRR10913114;SRR10913115;SRR10913116;SRR10913117;SRR10913118;SRR10913119	Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : KB, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : XWT, female strobili | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : XWT, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | HiSeq X Ten sequencing: Illumina RNA-Seq of Ephedra sinica : XLC, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | HiSeq X Ten sequencing: Illumina RNA-Seq of Ephedra sinica : XLW, female strobili | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | HiSeq X Ten sequencing: Illumina RNA-Seq of Ephedra sinica : XLW, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | HiSeq X Ten sequencing: Illumina RNA-Seq of Ephedra sinica : KB, female strobili | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | HiSeq X Ten sequencing: Illumina RNA-Seq of Ephedra sinica : KB, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : XLC, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : XLW, female strobili | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : XLW, young stems | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Sequel sequencing: PacBio RNA-Seq of Ephedra sinica : KB, female strobili | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Illumina HiSeq 2000 sequencing: Illumina RNA-Seq of Ephedra sinica : XWT, female strobili | Plant sample from Ephedra | Plant sample from Ephedra | Ephedra Transcriptome | Illumina HiSeq 2000 sequencing: Illumina RNA-Seq of Ephedra sinica : XWT, young stems | Plant sample from Ephedra | Plant sample from Ephedra
393	58.482	SRP456864	Scutellaria baicalensis	Scutellaria baicalensis	15	48.037	48036957051	404651271	120667497322	298.2	15	15	15	2023	2023	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Scutellaria baicalensis	SUB13789279	missing	SRR25752791;SRR25752792;SRR25752793;SRR25752794;SRR25752795;SRR25752796;SRR25752797;SRR25752798;SRR25752799;SRR25752800;SRR25752801;SRR25752802;SRR25752803;SRR25752804;SRR25752805	Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis | Scutellaria baicalensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Labiatae | Plant sample from Scutellaria baicalensis | Plant sample from Scutellaria baicalensis
394	58.213	SRP557398	Salvia miltiorrhiza	Salvia miltiorrhiza	9	71.861	71860723860	459778728	137933618400	300.0	9	9	9	2026	2026	9	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	397a-Flower-1 || 397a-Flower-2 || 397a-Flower-3 || 397a-Flower-4 || 397a-Flower-5 || 397a-Flower-6 || WT-Flower-1 || WT-Flower-2	SUB15007113	China: BeiJing	SRR32004745;SRR32004746;SRR32004747;SRR32004748;SRR32004749;SRR32004750;SRR32004751;SRR32004752;SRR32004753	Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | 397a-Flower-6 | replicate=biological replicate 6 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | 397a-Flower-5 | replicate=biological replicate 5 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | 397a-Flower-4 | replicate=biological replicate 4 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | 397a-Flower-3 | replicate=biological replicate 3 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | 397a-Flower-2 | replicate=biological replicate 2 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | 397a-Flower-1 | replicate=biological replicate 1 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | WT-Flower-3 | replicate=biological replicate 3 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | WT-Flower-2 | replicate=biological replicate 2 | Salvia miltiorrhiza transcriptome sequencing | Illumina HiSeq 2500 sequencing: Salvia miltiorrhiza RNA-Seq | WT-Flower-1 | replicate=biological replicate 1
395	58.122	SRP558663	Dendrobium officinale	Dendrobium officinale	5	48.756	48755946333	339295860	101451231542	299.01	5	0	5	2025	2025	0	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available		SUB15019664	China:xuzhou	SRR32059677;SRR32059678;SRR32059679;SRR32059680;SRR32059681	Transcriptome of Dendrobium officinale | 454 GS FLX Titanium sequencing: Dendrobium officinale tissue cultured seedlings | Tissue culture seedlings of Dendrobium officinale treated with KLBMP0506(14d) | Transcriptome of Dendrobium officinale | 454 GS FLX Titanium sequencing: Dendrobium officinale tissue cultured seedlings | Tissue culture seedlings of Dendrobium officinale treated with KLBMP0506(24h) | Transcriptome of Dendrobium officinale | 454 GS FLX Titanium sequencing: Dendrobium officinale tissue cultured seedlings | Tissue culture seedlings of Dendrobium officinale treated with KLBMP0506(6h) | Transcriptome of Dendrobium officinale | 454 GS FLX Titanium sequencing: Dendrobium officinale tissue cultured seedlings | Tissue culture seedlings of Dendrobium officinale treated with KLBMP0506(1/2h) | Transcriptome of Dendrobium officinale | 454 GS FLX Titanium sequencing: Dendrobium officinale tissue cultured seedlings | wild Tissue culture seedlings of Dendrobium officinale
396	58.052	SRP355901	Salvia miltiorrhiza	Salvia miltiorrhiza	9	48.895	48895379862	205566456	61669936800	300.0	9	9	9	2022	2022	1	False	replicated tractable run count; oversized project; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Salvia miltiorrhiza	SUB10973152	China: Shandong	SRR17674923;SRR17674924;SRR17674925;SRR17674926;SRR17674927;SRR17674928;SRR17674929;SRR17674930;SRR17674931	Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at withering stage rep3 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at withering stage rep2 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at withering stage rep1 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at full blooming stage rep3 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at full blooming stage rep2 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at full blooming stage rep1 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at bud stage rep3 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at bud stage rep2 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza | Salvia miltiorrhiza transcriptome sequencing | Illumina NovaSeq 6000 sequencing: Transcriptome sequencing data of Salvia miltiorrhiza flowers at bud stage rep1 | Plant sample from Salvia miltiorrhiza | Plant sample from Salvia miltiorrhiza
