third,fourth,control,status,completed_exhaustively,timed_out,witness_found,witness_verified,aggregate_nodes,wall_seconds,audit_status,coverage_ok
2,79,False,EXHAUSTED_NO_WITNESS,True,False,False,False,181,0.000399426,EXHAUSTED_NO_WITNESS,True
2,80,False,EXHAUSTED_NO_WITNESS,True,False,False,False,114,0.00038384,EXHAUSTED_NO_WITNESS,True
2,81,False,EXHAUSTED_NO_WITNESS,True,False,False,False,80,0.000293697,EXHAUSTED_NO_WITNESS,True
2,82,False,EXHAUSTED_NO_WITNESS,True,False,False,False,46,0.000299642,EXHAUSTED_NO_WITNESS,True
2,83,False,EXHAUSTED_NO_WITNESS,True,False,False,False,30,0.000299951,EXHAUSTED_NO_WITNESS,True
2,84,False,EXHAUSTED_NO_WITNESS,True,False,False,False,18,0.000224626,EXHAUSTED_NO_WITNESS,True
2,85,False,EXHAUSTED_NO_WITNESS,True,False,False,False,10,0.000249692,EXHAUSTED_NO_WITNESS,True
2,86,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6,0.000244527,EXHAUSTED_NO_WITNESS,True
2,87,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3,0.000241723,EXHAUSTED_NO_WITNESS,True
2,88,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2,0.000210485,EXHAUSTED_NO_WITNESS,True
2,89,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1,0.000216706,EXHAUSTED_NO_WITNESS,True
3,4,False,EXHAUSTED_NO_WITNESS,True,False,False,False,140806240,235.16155158,EXHAUSTED_NO_WITNESS,True
3,5,False,EXHAUSTED_NO_WITNESS,True,False,False,False,169515091,284.655868073,EXHAUSTED_NO_WITNESS,True
3,6,False,EXHAUSTED_NO_WITNESS,True,False,False,False,152700424,247.101627689,EXHAUSTED_NO_WITNESS,True
3,7,False,EXHAUSTED_NO_WITNESS,True,False,False,False,163826420,267.294026029,EXHAUSTED_NO_WITNESS,True
3,8,False,EXHAUSTED_NO_WITNESS,True,False,False,False,145687290,246.152259125,EXHAUSTED_NO_WITNESS,True
3,9,False,EXHAUSTED_NO_WITNESS,True,False,False,False,126213981,207.028931142,EXHAUSTED_NO_WITNESS,True
3,10,False,EXHAUSTED_NO_WITNESS,True,False,False,False,116055267,196.562014953,EXHAUSTED_NO_WITNESS,True
3,11,False,EXHAUSTED_NO_WITNESS,True,False,False,False,102134815,170.017832196,EXHAUSTED_NO_WITNESS,True
3,12,False,EXHAUSTED_NO_WITNESS,True,False,False,False,94009627,156.186194749,EXHAUSTED_NO_WITNESS,True
3,13,False,EXHAUSTED_NO_WITNESS,True,False,False,False,84773967,139.45480808,EXHAUSTED_NO_WITNESS,True
3,14,False,EXHAUSTED_NO_WITNESS,True,False,False,False,78153967,82.765028774,EXHAUSTED_NO_WITNESS,True
3,15,False,EXHAUSTED_NO_WITNESS,True,False,False,False,70530820,114.571978245,EXHAUSTED_NO_WITNESS,True
3,16,False,EXHAUSTED_NO_WITNESS,True,False,False,False,65559891,108.006285121,EXHAUSTED_NO_WITNESS,True
3,17,False,EXHAUSTED_NO_WITNESS,True,False,False,False,58331791,71.744395448,EXHAUSTED_NO_WITNESS,True
3,18,False,EXHAUSTED_NO_WITNESS,True,False,False,False,54293956,98.876489404,EXHAUSTED_NO_WITNESS,True
3,19,False,EXHAUSTED_NO_WITNESS,True,False,False,False,48902790,78.231361148,EXHAUSTED_NO_WITNESS,True
3,20,False,EXHAUSTED_NO_WITNESS,True,False,False,False,45438006,55.181701092,EXHAUSTED_NO_WITNESS,True
3,21,False,EXHAUSTED_NO_WITNESS,True,False,False,False,40710718,66.25630279,EXHAUSTED_NO_WITNESS,True
3,22,False,EXHAUSTED_NO_WITNESS,True,False,False,False,37469967,57.835713368,EXHAUSTED_NO_WITNESS,True
3,23,False,EXHAUSTED_NO_WITNESS,True,False,False,False,33422255,41.382687888,EXHAUSTED_NO_WITNESS,True
3,24,False,EXHAUSTED_NO_WITNESS,True,False,False,False,30575509,47.045959432,EXHAUSTED_NO_WITNESS,True
3,25,False,EXHAUSTED_NO_WITNESS,True,False,False,False,27383909,41.198139698,EXHAUSTED_NO_WITNESS,True
3,26,False,EXHAUSTED_NO_WITNESS,True,False,False,False,25100624,37.884467944,EXHAUSTED_NO_WITNESS,True
3,27,False,EXHAUSTED_NO_WITNESS,True,False,False,False,22205007,30.886284732,EXHAUSTED_NO_WITNESS,True
3,28,False,EXHAUSTED_NO_WITNESS,True,False,False,False,20649908,19.037823419,EXHAUSTED_NO_WITNESS,True
3,29,False,EXHAUSTED_NO_WITNESS,True,False,False,False,17810861,27.392681155,EXHAUSTED_NO_WITNESS,True
3,30,False,EXHAUSTED_NO_WITNESS,True,False,False,False,16772164,16.383192283,EXHAUSTED_NO_WITNESS,True
3,31,False,EXHAUSTED_NO_WITNESS,True,False,False,False,14763733,16.564537381,EXHAUSTED_NO_WITNESS,True
3,32,False,EXHAUSTED_NO_WITNESS,True,False,False,False,13685279,19.634029746,EXHAUSTED_NO_WITNESS,True
