ligand_std,system,grid_category,run_mode,n_poses,mean_pairwise_rmsd,median_pairwise_rmsd,max_pairwise_rmsd,pose_cluster_low_rmsd
Cryptotanshinone,E50K_AC,blind,focused_blind_seed3,3,10.805818327711165,16.06536023278317,16.118190438135418,False
Cryptotanshinone,E50K_AC,sidechain,focused_sidechain_seed3,3,0.13725784971011595,0.11955941847238284,0.19698211732402107,True
Cryptotanshinone,E50K_BD,blind,focused_blind_seed3,3,0.06267353905002437,0.05990902193402024,0.08867637791430119,True
Cryptotanshinone,E50K_BD,sidechain,focused_sidechain_seed3,3,4.481075415276155,6.641105357064919,6.676832856976427,False
Cryptotanshinone,WT_AC,blind,focused_blind_seed3,3,0.06832997007387752,0.06865361011496897,0.09149465955602454,True
Cryptotanshinone,WT_AC,sidechain,focused_sidechain_seed3,3,0.10409933406703413,0.1224147198516736,0.13071864303290354,True
Cryptotanshinone,WT_BD,blind,focused_blind_seed3,3,4.110597038508193,6.02979243951534,6.066538102200838,False
Cryptotanshinone,WT_BD,sidechain,focused_sidechain_seed3,3,4.045635186508073,5.9710150461892315,5.982984178636793,False
Linarin,E50K_AC,blind,core6_blind_seed10,10,11.2484240173298,10.603147440399816,19.57502402540641,False
Linarin,E50K_AC,blind,focused_blind_seed3,3,13.659391253116175,16.159230848621714,18.34738207743105,False
Linarin,E50K_AC,sidechain,focused_sidechain_seed3,3,7.9963706541442745,8.411032536694488,9.072425337251335,False
Linarin,E50K_BD,blind,core6_blind_seed10,10,7.935829976815146,7.896285044247073,11.954785079026484,False
Linarin,E50K_BD,blind,focused_blind_seed3,3,4.372603206429167,5.087041244087532,5.898030145331414,False
Linarin,E50K_BD,sidechain,focused_sidechain_seed3,3,10.006749907801245,11.0071754940649,12.753129548691737,False
Linarin,WT_AC,blind,core6_blind_seed10,10,6.318435210846136,6.1242590436177125,11.461700649803863,False
Linarin,WT_AC,blind,focused_blind_seed3,3,7.298061958360681,7.651995942547401,9.66143880884948,False
Linarin,WT_AC,sidechain,focused_sidechain_seed3,3,8.59000883512558,9.776179958011644,10.224284933664647,False
Linarin,WT_BD,blind,core6_blind_seed10,10,7.868727289999466,9.448884552459845,13.763974330008862,False
Linarin,WT_BD,blind,focused_blind_seed3,3,10.155744182943815,11.691869480642561,12.42596810638722,False
Linarin,WT_BD,sidechain,focused_sidechain_seed3,3,5.244099032530285,6.834183838476635,7.047957184616722,False
Quercetin,E50K_AC,blind,core6_blind_seed10,10,4.561817823806987,7.004904638894094,11.913701890146184,False
Quercetin,E50K_BD,blind,core6_blind_seed10,10,5.525701801301728,7.37689341796396,7.835987922864145,False
Quercetin,WT_AC,blind,core6_blind_seed10,10,6.105857645929648,6.9976906547803335,9.495649932277603,False
Quercetin,WT_BD,blind,core6_blind_seed10,10,4.864673709581134,7.026532320750077,8.636621227498212,False
Tanshinone_I,E50K_AC,blind,focused_blind_seed3,3,0.7006684236098462,0.7864932415778403,0.9948907573435481,True
Tanshinone_I,E50K_AC,sidechain,focused_sidechain_seed3,3,2.0960374147809198,3.0795541343945656,3.0841176479937773,False
Tanshinone_I,E50K_BD,blind,focused_blind_seed3,3,0.08635194207661791,0.08745257218031066,0.11889471132456844,True
Tanshinone_I,E50K_BD,sidechain,focused_sidechain_seed3,3,7.518708535573495,6.232540378644055,10.259244200789285,False
Tanshinone_I,WT_AC,blind,focused_blind_seed3,3,0.06168414355486159,0.054028652010717916,0.08329837361929134,True
Tanshinone_I,WT_AC,sidechain,focused_sidechain_seed3,3,10.321732900305228,12.98767484230814,13.0897647947147,False
Tanshinone_I,WT_BD,blind,focused_blind_seed3,3,11.523247767201141,15.289964474093706,15.327311454673692,False
Tanshinone_I,WT_BD,sidechain,focused_sidechain_seed3,3,13.075965988056046,19.555354004417694,19.60339298620085,False
Tanshinone_IIA,E50K_AC,blind,focused_blind_seed3,3,14.747459031005144,16.20078643573711,19.200815143681222,False
Tanshinone_IIA,E50K_AC,sidechain,focused_sidechain_seed3,3,2.1126119698663604,3.1250753227286014,3.1291005605735673,False
Tanshinone_IIA,E50K_BD,blind,focused_blind_seed3,3,4.244093023803622,6.338517008231212,6.3401413412693515,False
Tanshinone_IIA,E50K_BD,sidechain,focused_sidechain_seed3,3,5.303695369537947,6.096544248402309,6.7123957042854006,False
Tanshinone_IIA,WT_AC,blind,focused_blind_seed3,3,3.9612088545064807,5.757742747418865,5.765131130732887,False
Tanshinone_IIA,WT_AC,sidechain,focused_sidechain_seed3,3,0.42572389445429826,0.5396974320689484,0.5944326171767801,True
Tanshinone_IIA,WT_BD,blind,focused_blind_seed3,3,4.367956250834575,6.500663707373551,6.506761703308056,False
Tanshinone_IIA,WT_BD,sidechain,focused_sidechain_seed3,3,0.1221187094738418,0.11733227874870464,0.15220231750714433,True
